isNews,otherWebsiteLink,href,follow_allowed,isFileLink,isBaseOnly,containsNOfollowKeyword,rel,title,urlLength,titleLength,nOfDdigits,nOfForwardSlash,nOfDot,nOfEqual,nOfHash
TRUE,FALSE,https://www.haberler.com/diyarbakir-da-iki-kuyuda-petrol-bulunmasi-sevinc-14161408-haberi/,TRUE,FALSE,FALSE,FALSE,,Arpa ektikleri yerden petrol fışkırdı! İşte Cumhurbaşkanı Erdoğan'ın bahsettiği o kuyu,90,86,0,4,2,0,0
TRUE,FALSE,https://www.sondakika.com/haber/haber-sedat-peker-iddialarinin-ardindan-gundeme-gelen-14162275/,TRUE,FALSE,FALSE,FALSE,,Sedat Peker iddialarının ardından gündeme gelen Emniyet Genel Müdür Yardımcısı Çalışkan: Beni nasıl açığa alacaklar bir görelim bakalım,95,135,0,5,2,0,0
FALSE,FALSE,https://www.haberturk.com/,TRUE,FALSE,TRUE,FALSE,,,26,0,0,3,2,0,0
FALSE,FALSE,https://www.f5haber.com/#menu,TRUE,FALSE,FALSE,FALSE,,,29,0,0,3,2,0,1
FALSE,FALSE,https://theworldnews.net/,TRUE,FALSE,TRUE,FALSE,,,25,0,0,3,1,0,0
FALSE,FALSE,https://theworldnews.net/,TRUE,FALSE,TRUE,FALSE,,,25,0,0,3,1,0,0
FALSE,FALSE,https://theworldnews.net/,TRUE,FALSE,TRUE,FALSE,,,25,0,0,3,1,0,0
FALSE,FALSE,https://www.borsagundem.com/yazarlar,TRUE,FALSE,FALSE,TRUE,,Yazarlar,36,8,0,3,2,0,0
FALSE,TRUE,http://www.gazetevatan.com/gazete/,TRUE,FALSE,FALSE,FALSE,,Bugünkü Vatan,34,13,0,4,2,0,0
FALSE,TRUE,http://www.gazetevatan.com/calisma-hayati/,TRUE,FALSE,FALSE,FALSE,,Çalışma Hayatı,42,14,0,4,2,0,0
FALSE,TRUE,http://videogaleri.gazetevatan.com/,TRUE,FALSE,FALSE,FALSE,,Video,35,5,0,3,2,0,0
TRUE,FALSE,https://www.turkish.shafaqna.com/TR/AL/5892002,TRUE,FALSE,FALSE,FALSE,,,46,0,0,5,3,0,0
FALSE,TRUE,/TR/AL/sou/www.sabah.com.tr/tasnim,TRUE,FALSE,FALSE,FALSE,,,34,0,0,5,3,0,0
TRUE,FALSE,https://www.posta.com.tr/insan/astroloji,TRUE,FALSE,FALSE,FALSE,,Astroloji,40,9,0,4,3,0,0
TRUE,FALSE,https://www.haberler.com/sedat-peker-iddialari-sonrasi-gundeme-gelen-14162236-haberi/,TRUE,FALSE,FALSE,FALSE,,Sedat Peker iddiaları sonrası gündeme gelen Emniyet Genel Müdür Yardımcısı Çalışkan: Beni nasıl açığa alacaklar bir görelim bakalım,85,131,0,4,2,0,0
FALSE,FALSE,https://qoshe.com/login,TRUE,FALSE,FALSE,FALSE,,,23,0,0,3,1,0,0
TRUE,FALSE,https://www.sondakika.com/haber/haber-iki-kadinin-katil-zanlisinin-babasinin-da-kadin-14162252/,TRUE,FALSE,FALSE,FALSE,,İki kadının katil zanlısının babasının da kadın katili olduğu ortaya çıktı,95,74,0,5,2,0,0
FALSE,FALSE,https://www.haberturk.com/uyelik/bilgi_guncelle,TRUE,FALSE,FALSE,TRUE,,,47,0,0,4,2,0,0
TRUE,FALSE,https://www.f5haber.com/gopartners/5c43882a686b218316292c56?url=http%3A%2F%2Fwww.hurriyet.com.tr%2Fyazarlar%2Fabdulkadir-selvi%2Fdemirtas-hdpli-bakan-icin-ne-demis-41819986&ref=yazarlar,TRUE,FALSE,FALSE,FALSE,,"Demirtaş, HDP’li bakan için ne demiş?",185,37,0,4,5,2,0
FALSE,FALSE,https://theworldnews.net/us-news,TRUE,FALSE,FALSE,FALSE,,,32,0,0,3,1,0,0
FALSE,FALSE,https://theworldnews.net/us-news,TRUE,FALSE,FALSE,FALSE,,,32,0,0,3,1,0,0
FALSE,TRUE,http://www.borsagundem.com/piyasa-ekrani/kripto-para/BTC,TRUE,FALSE,FALSE,FALSE,,,56,0,0,5,2,0,0
FALSE,TRUE,http://www.borsagundem.com/piyasa-ekrani/kripto-para/ETH,TRUE,FALSE,FALSE,FALSE,,,56,0,0,5,2,0,0
FALSE,TRUE,http://www.gazetevatan.com/fotogaleri/,TRUE,FALSE,FALSE,FALSE,,Foto Galeri,38,11,0,4,2,0,0
TRUE,FALSE,https://www.turkish.shafaqna.com/TR/AL/5892001,TRUE,FALSE,FALSE,FALSE,,,46,0,0,5,3,0,0
FALSE,TRUE,/TR/AL/sou/www.trt.net.tr/TRT,TRUE,FALSE,FALSE,FALSE,,,29,0,0,5,3,0,0
FALSE,FALSE,https://www.posta.com.tr/alisveris,TRUE,FALSE,FALSE,FALSE,,Alışveriş,34,9,0,3,3,0,0
TRUE,FALSE,https://www.haberler.com/bakan-koca-normallesme-icin-hazirlik-yaptiklarini-14161853-haberi/,TRUE,FALSE,FALSE,FALSE,,Bakan Koca normalleşme için hazırlık yaptıklarını belirtmişti! 1 Haziran sonrası için taslak plan ortaya çıktı,91,110,1,4,2,0,0
FALSE,FALSE,https://qoshe.com/info,TRUE,FALSE,FALSE,FALSE,,,22,0,0,3,1,0,0
FALSE,FALSE,https://qoshe.com/,TRUE,FALSE,TRUE,FALSE,,,18,0,0,3,1,0,0
FALSE,FALSE,https://qoshe.com/au,TRUE,FALSE,FALSE,FALSE,,,20,0,0,3,1,0,0
TRUE,FALSE,https://www.sondakika.com/haber/haber-son-dakika-daha-once-bu-rakamlar-gorulmedi-14162244/,TRUE,FALSE,FALSE,FALSE,,"Son dakika: Daha önce bu rakamlar görülmedi Dolar 8,5995, euro 8,47",90,67,8,5,2,0,0
FALSE,FALSE,https://www.haberturk.com/gundem,TRUE,FALSE,FALSE,FALSE,,Gündem,32,6,0,3,2,0,0
FALSE,FALSE,https://www.f5haber.com/gopartners/5c43882a686b218316292c63?url=https%3A%2F%2Fwww.posta.com.tr%2Fyazarlar%2Fmurat-celik%2Fmaskesiz-hayat-icin-asi-seferberligi-sart-2334186&ref=yazarlar,TRUE,FALSE,FALSE,TRUE,,Maskesiz hayat için aşı seferberliği şart,184,41,0,4,5,2,0
FALSE,FALSE,https://theworldnews.net/#us-today,TRUE,FALSE,FALSE,FALSE,,,34,0,0,3,1,0,1
FALSE,FALSE,https://theworldnews.net/#us-edited,TRUE,FALSE,FALSE,FALSE,,,35,0,0,3,1,0,1
FALSE,TRUE,http://www.borsagundem.com/piyasa-ekrani/kripto-para/EXEN,TRUE,FALSE,FALSE,FALSE,,,57,0,0,5,2,0,0
FALSE,TRUE,http://www.gazetevatan.com/magazin/,TRUE,FALSE,FALSE,FALSE,,Magazin,35,7,0,4,2,0,0
FALSE,TRUE,http://www.gazetevatan.com/namaz-vakitleri/,TRUE,FALSE,FALSE,FALSE,,Namaz Vakitleri,43,15,0,4,2,0,0
FALSE,TRUE,http://www.gazetevatan.com/gundem/,TRUE,FALSE,FALSE,FALSE,,Gündem,34,6,0,4,2,0,0
TRUE,FALSE,https://www.turkish.shafaqna.com/TR/AL/5892000,TRUE,FALSE,FALSE,FALSE,,,46,0,0,5,3,0,0
FALSE,TRUE,/TR/AL/sou/www.takvim.com.tr/takvim,TRUE,FALSE,FALSE,FALSE,,,35,0,0,5,3,0,0
TRUE,FALSE,https://www.turkish.shafaqna.com/TR/AL/5891999,TRUE,FALSE,FALSE,FALSE,,,46,0,0,5,3,0,0
